location_stand,banking,bike_stands,available_bike_stands,available_bikes,status,date,time ,longitude,latitude,workingday,weather,Season,temp,humidity,windspeed
East wall road outside the O2,TRUE,30,0,30,OPEN,01-01-2021,22:07:00,-6.22726053,53.34779261,1,1,1,10.66,56,26.0027
"Camden street lower, outside centra shop",TRUE,20,19,1,OPEN,01-01-2021,22:07:00,-6.265138686,53.33424783,1,1,1,10.66,56,0
Marks lane,FALSE,33,28,5,OPEN,01-01-2021,22:07:00,-6.249765605,53.34494805,1,1,1,10.66,56,0
"Custom House Quay, outside AIB International Centre",FALSE,40,16,24,OPEN,01-01-2021,22:07:00,-6.251051724,53.34851312,1,1,1,10.66,56,11.0014
Pearce street outside garden area,FALSE,40,33,7,OPEN,01-01-2021,22:07:00,-6.242272854,53.34296483,1,1,1,10.66,56,11.0014
"Middle abbey street, outside arnotts carpark",FALSE,20,2,18,OPEN,01-01-2021,22:07:00,-6.262080967,53.34817688,1,1,1,9.84,60,15.0013
Foley street,TRUE,30,14,16,OPEN,01-01-2021,22:07:00,-6.25176385,53.35182974,1,1,1,9.02,60,15.0013
Bloomington street outside Dargans pharmacy.,TRUE,30,13,17,OPEN,01-01-2021,22:07:00,-6.268160194,53.35686542,1,1,1,9.02,55,15.0013
Parnell square north,FALSE,32,13,19,OPEN,01-01-2021,22:07:00,-6.264363527,53.35398625,1,1,1,9.02,55,19.0012
"William street south, duke street gallery.",FALSE,40,14,26,OPEN,01-01-2021,22:07:00,-6.262504756,53.34211451,1,2,1,9.84,52,15.0013
North king street,FALSE,30,20,10,OPEN,01-01-2021,22:07:00,-6.271338612,53.35055212,1,1,1,10.66,48,19.9995
Maggot street lower outside Medmark healthcare ,TRUE,30,18,12,OPEN,01-01-2021,22:07:00,-6.245986372,53.33485887,1,2,1,11.48,45,11.0014
"Cuffe street, across from O'callaghan Stephen green hotel",FALSE,40,35,5,OPEN,01-01-2021,22:07:00,-6.262797117,53.33769129,1,2,1,12.3,42,0
Parnell street outside temple hall,FALSE,20,17,3,OPEN,01-01-2021,22:07:00,-6.25826081,53.35392471,1,2,1,11.48,45,7.0015
Parnell street outside beauty chic,TRUE,40,18,22,OPEN,01-01-2021,22:07:00,-6.264474839,53.3509772,1,2,1,12.3,45,8.9981
"Parnell street, outside 147 deli",FALSE,30,0,30,OPEN,01-01-2021,22:07:00,-6.259794384,53.35342112,1,2,1,13.12,45,12.998
"Wexford street, Infront of bank of ireland",TRUE,30,6,24,OPEN,01-01-2021,22:07:00,-6.265522242,53.33630513,1,2,1,12.3,49,8.9981
"Bottom of George's street, beside the mercantile",FALSE,40,40,0,OPEN,01-01-2021,22:07:00,-6.264283061,53.34393043,1,2,1,12.3,49,7.0015
Fitzwilliam Place,FALSE,30,24,6,OPEN,01-01-2021,22:07:00,-6.252724081,53.33299531,1,2,1,10.66,56,12.998
Capel street outside AIB bank,TRUE,40,36,4,OPEN,01-01-2021,22:07:00,-6.268814653,53.34846989,1,1,1,10.66,56,22.0028
Merrion street lower,FALSE,30,29,1,OPEN,01-01-2021,22:07:00,-6.250445545,53.341293,1,2,1,10.66,60,19.0012
Earlsfort Terrace,TRUE,38,6,32,OPEN,01-01-2021,22:07:00,-6.258763075,53.33366002,1,2,1,9.84,60,16.9979
Abbey street lower near abbey street luas station,FALSE,30,22,7,OPEN,01-01-2021,22:07:00,-6.257420629,53.34867644,1,2,1,9.84,65,19.0012
Amiens street under train tracks,FALSE,40,39,1,OPEN,01-01-2021,22:07:00,-6.249542981,53.35221799,1,2,1,9.84,65,22.0028
North circular road outside carolans off licence,FALSE,30,27,3,OPEN,02-01-2021,22:07:00,-6.259003133,53.35921696,1,2,1,9.84,70,16.9979
"Dorset Street Upper, outside Ritzy Rags Shop",FALSE,20,8,12,OPEN,02-01-2021,22:07:00,-6.26837343,53.35274391,1,2,1,9.84,70,16.9979
Foley street,FALSE,30,2,28,OPEN,02-01-2021,22:07:00,-6.252315044,53.35165203,1,3,1,9.84,75,11.0014
Dorset street upper outside techno logic ,TRUE,40,38,2,OPEN,02-01-2021,22:07:00,-6.268642992,53.35275832,1,3,1,9.02,80,19.9995
Parnell street outside lomdis,FALSE,31,18,13,OPEN,02-01-2021,22:07:00,-6.261105984,53.35264945,1,2,1,9.02,87,6.0032
Top of Parnell street opposite Londis,FALSE,35,35,0,OPEN,02-01-2021,22:07:00,-6.257088035,53.35410392,1,1,1,9.84,60,27.9993
"St Stephens green Luas, in front of certus",TRUE,40,40,0,OPEN,02-01-2021,22:07:00,-6.261493564,53.33916468,1,1,1,9.02,55,16.9979
Tara street,FALSE,30,6,24,OPEN,02-01-2021,22:07:00,-6.254994571,53.34695679,1,1,1,8.2,51,19.0012
Mayor street upper beside the point luas station,FALSE,30,28,2,OPEN,02-01-2021,22:07:00,-6.228922158,53.34845548,1,1,1,8.2,47,22.0028
Mountjoy square noeth,FALSE,24,3,21,OPEN,02-01-2021,22:07:00,-6.258693337,53.35708473,1,1,1,8.2,51,23.9994
"Exchequer Street, outside Fallon Byrne ",FALSE,40,13,27,OPEN,02-01-2021,22:07:00,-6.263477057,53.34307452,1,1,1,8.2,47,31.0009
"Stephens street upper, beside IBOA House",FALSE,36,33,3,OPEN,02-01-2021,22:07:00,-6.267122179,53.34103437,1,1,1,9.02,41,31.0009
George's street great south outside Dublin business school,FALSE,40,31,9,OPEN,02-01-2021,22:07:00,-6.264492273,53.34339079,1,1,1,9.02,27,39.0007
Exchequer street,FALSE,40,29,11,OPEN,02-01-2021,22:07:00,-6.263179332,53.34308013,1,1,1,8.2,21,39.0007
Jervis street,TRUE,40,38,2,OPEN,02-01-2021,22:07:00,-6.266077459,53.3471065,1,1,1,8.2,25,35.0008
Patrick street opposite daybreak shop,TRUE,25,8,17,OPEN,02-01-2021,22:07:00,-6.272172779,53.34126417,1,1,1,6.56,26,30.0026
Opposite 179 Church street,FALSE,29,15,14,OPEN,02-01-2021,22:07:00,-6.275383383,53.34595443,1,1,1,6.56,26,23.9994
Baht street lower outside Larry Murphy's,FALSE,30,28,2,OPEN,02-01-2021,22:07:00,-6.248770505,53.33677519,1,1,1,5.74,28,23.9994
Maggot street lower outside bank of ireland,FALSE,20,0,20,OPEN,02-01-2021,22:07:00,-6.247810274,53.33588071,1,1,1,4.92,30,16.9979
,FALSE,40,37,3,OPEN,02-01-2021,22:07:00,-6.255081743,53.34158766,1,1,1,4.92,30,22.0028
Westland row,FALSE,30,20,10,OPEN,02-01-2021,22:07:00,-6.24988094,53.34336116,1,1,1,4.1,33,27.9993
Pearce street,TRUE,29,19,10,OPEN,02-01-2021,22:07:00,-6.245094538,53.34337317,1,1,1,3.28,38,19.0012
Aungier street outside DIT,FALSE,30,8,17,OPEN,02-01-2021,22:07:00,-6.26622498,53.33866101,1,1,1,2.46,41,26.0027
Capel street outside Dublin College of Advanced Studies,FALSE,40,37,3,OPEN,02-01-2021,22:07:00,-6.269459724,53.35013744,1,1,1,2.46,38,22.0028
Kings Inn Street,FALSE,40,6,34,OPEN,03-01-2021,22:07:00,-6.268934011,53.35202907,0,1,1,1.64,45,16.9979
top of Parnell street,FALSE,40,40,0,OPEN,03-01-2021,22:07:00,-6.257198006,53.35419437,0,2,1,1.64,41,26.0027
"Parnell Street, outside Burger King",TRUE,40,30,10,OPEN,03-01-2021,22:07:00,-6.264808774,53.3508299,0,2,1,1.64,41,16.9979
